RX (MHz),TX (MHz),System,Band Plan,Purpose
267.950,310.450,UHF military,225-328.6 MHz,Military communications
268.000,310.475,UHF military,225-328.6 MHz,Military communications
268.025,309.025,Navy 25 kHz,Navy 25K,Tactical voice/data communications
268.050,310.550,UHF military,225-328.6 MHz,Military communications
268.100,310.600,UHF military,225-328.6 MHz,Military communications
268.150,309.150,Navy 25 kHz,Navy 25K,Tactical voice/data communications
268.200,296.050,UHF military,225-328.6 MHz,Military communications
268.250,309.250,Navy 25 kHz,Navy 25K,Tactical voice/data communications
268.300,309.300,Navy 25 kHz,Navy 25K,Tactical voice/data communications
268.350,309.350,UHF military,225-328.6 MHz,Military communications
268.400,295.900,FLTSATCOM/Leasat,C/Z,Tactical communications
268.450,309.450,UHF military,225-328.6 MHz,Military communications
269.700,309.925,UHF military,225-328.6 MHz,Military communications
269.750,310.750,UHF military,225-328.6 MHz,Military communications
269.800,310.025,UHF military,225-328.6 MHz,Military communications
269.850,310.850,Navy 25 kHz,Navy 25K,Tactical voice/data communications
269.950,310.950,DOD 25 kHz,DOD 25K,Tactical communications (DoD)
